name;symbolnasdaq;currency;isin;symbol;sector;sector_code;
Byggfakta Group Nordic HoldCo;BFG;SEK;SE0016798581;BFG.ST;Technology;1010;
BHG Group;BHG;SEK;SE0010948588;BHG.ST;Consumer Services;4040;
BICO Group;BICO;SEK;SE0013647385;BICO.ST;Health Care;2010;
Bilia A;BILI A;SEK;SE0009921588;BILI-A.ST;Consumer Services;4040;
Billerud;BILL;SEK;SE0000862997;BILL.ST;Basic Materials;5510;
Biotage;BIOT;SEK;SE0000454746;BIOT.ST;Health Care;2010;
Boliden;BOL;SEK;SE0017768716;BOL.ST;Basic Materials;5510;
Boozt;BOOZT;SEK;SE0009888738;BOOZT.ST;Consumer Services;4040;
Boozt;BOOZT DKK;DKK;SE0009888738;BOOZT.ST;Consumer Services;4040;
Bravida Holding;BRAV;SEK;SE0007491303;BRAV.ST;Industrials;5010;
Bufab;BUFAB;SEK;SE0005677135;BUFAB.ST;Industrials;5020;
Bure Equity;BURE;SEK;SE0000195810;BURE.ST;Financials;3020;
Carlsberg A;CARL A;DKK;DK0010181676;CARL-A.CO;Consumer Goods;4510;
Carlsberg B;CARL B;DKK;DK0010181759;CARL-B.CO;Consumer Goods;4510;
Castellum;CAST;SEK;SE0000379190;CAST.ST;Real Estate;3510;
Catena;CATE;SEK;SE0001664707;CATE.ST;Real Estate;3510;
Cargotec Oyj;CGCBV;EUR;FI0009013429;CGCBV.HE;Industrials;5020;
ChemoMetec;CHEMM;DKK;DK0060055861;CHEMM.CO;Health Care;2010;
Chr. Hansen Holding;CHR;DKK;DK0060227585;CHR.CO;Health Care;2010;
Cint Group;CINT;SEK;SE0015483276;CINT.ST;Technology;1010;
Coloplast B;COLO B;DKK;DK0060448595;COLO-B.CO;Health Care;2010;
Corem Property Group A;CORE A;SEK;SE0010714279;CORE-A.ST;Real Estate;3510;
Corem Property Group B;CORE B;SEK;SE0010714287;CORE-B.ST;Real Estate;3510;
Corem Property Group D;CORE D;SEK;SE0015961594;CORE-D.ST;Real Estate;3510;
Corem Property Group Pref;CORE PREF;SEK;SE0010714311;CORE-PREF.ST;Real Estate;3510;
Creades A;CRED A;SEK;SE0015661236;CRED-A.ST;Financials;3020;
Citycon Oyj;CTY1S;EUR;FI4000369947;CTY1S.HE;Real Estate;3510;
Danske Bank;DANSKE;DKK;DK0010274414;DANSKE.CO;Financials;3010;
Demant;DEMANT;DKK;DK0060738599;DEMANT.CO;Health Care;2010;
DFDS;DFDS;DKK;DK0060655629;DFDS.CO;Industrials;5020;
Dometic Group;DOM;SEK;SE0007691613;DOM.ST;Consumer Services;4020;
DSV;DSV;DKK;DK0060079531;DSV.CO;Industrials;5020;
Elekta B;EKTA B;SEK;SE0000163628;EKTA-B.ST;Health Care;2010;
Elisa Oyj;ELISA;EUR;FI0009007884;ELISA.HE;Telecommunications;1510;
Electrolux A;ELUX A;SEK;SE0016589170;ELUX-A.ST;Consumer Services;4020;
Electrolux B;ELUX B;SEK;SE0016589188;ELUX-B.ST;Consumer Services;4020;
Epiroc A;EPI A;SEK;SE0015658109;EPI-A.ST;Industrials;5020;
Epiroc B;EPI B;SEK;SE0015658117;EPIPF;Industrials;5020;
Electrolux Professional B;EPRO B;SEK;SE0013747870;EPRO-B.ST;Industrials;5020;
EQT;EQT;SEK;SE0012853455;EQT.ST;Financials;3020;
Ericsson A;ERIC A;SEK;SE0000108649;ERIC-A.ST;Telecommunications;1510;
Ericsson B;ERIC B;SEK;SE0000108656;ERIC-B.ST;Telecommunications;1510;
Essity A;ESSITY A;SEK;SE0009922156;ESSITY-A.ST;Consumer Goods;4520;
Essity B;ESSITY B;SEK;SE0009922164;ESSITY-B.ST;Consumer Goods;4520;
Evolution;EVO;SEK;SE0012673267;EVO.ST;Consumer Services;4050;
Fabege;FABG;SEK;SE0011166974;FABG.ST;Real Estate;3510;
FLSmidth & Co.;FLS;DKK;DK0010234467;FLS.CO;Industrials;5010;
Fortnox;FNOX;SEK;SE0017161243;FNOX.ST;Technology;1010;
Fenix Outdoor International B;FOI B;SEK;CH0242214887;FOI-B.ST;Consumer Services;4020;
Fortum Oyj;FORTUM;EUR;FI0009007132;FORTUM.HE;Utilities;6510;
Fastpartner A;FPAR A;SEK;SE0013512506;FPAR-A.ST;Real Estate;3510;
Fastpartner D;FPAR D;SEK;SE0013512514;FPAR-D.ST;Real Estate;3510;
Fiskars Oyj Abp;FSKRS;EUR;FI0009000400;FSKRS.HE;Consumer Services;4020;
Getinge B;GETI B;SEK;SE0000202624;GETI-B.ST;Health Care;2010;
Genmab;GMAB;DKK;DK0010272202;GMAB.CO;Health Care;2010;
GN Store Nord;GN;DKK;DK0010272632;GN.CO;Health Care;2010;
Hemnet Group;HEM;SEK;SE0015671995;HEM.ST;Real Estate;3510;
Hexagon B;HEXA B;SEK;SE0015961909;HEXA-B.ST;Technology;1010;
H. Lundbeck A;HLUN A;DKK;DK0061804697;HLUN-A.CO;Health Care;2010;
H. Lundbeck B;HLUN B;DKK;DK0061804770;HLUN-B.CO;Health Care;2010;
Hennes & Mauritz B;HM B;SEK;SE0000106270;HM-B.ST;Consumer Services;4040;
HMS Networks;HMS;SEK;SE0009997018;HMS.ST;Telecommunications;1510;
Holmen A;HOLM A;SEK;SE0011090000;HOLM-A.ST;Basic Materials;5510;
Holmen B;HOLM B;SEK;SE0011090018;HOLM-B.ST;Basic Materials;5510;
HEXPOL B;HPOL B;SEK;SE0007074281;HPOL-B.ST;Basic Materials;5510;
Hexatronic Group;HTRO;SEK;SE0018040677;HTRO.ST;Telecommunications;1510;
Hufvudstaden A;HUFV A;SEK;SE0000170375;HUFV-A.ST;Real Estate;3510;
Huhtamäki Oyj;HUH1V;EUR;FI0009000459;HUH1V.HE;Industrials;5020;
Husqvarna A;HUSQ A;SEK;SE0001662222;HUSQ-A.ST;Consumer Services;4020;
Husqvarna B;HUSQ B;SEK;SE0001662230;HUSQ-B.ST;Consumer Services;4020;
Indutrade;INDT;SEK;SE0001515552;INDT.ST;Industrials;5020;
Industrivärden A;INDU A;SEK;SE0000190126;INDU-A.ST;Financials;3020;
Industrivärden C;INDU C;SEK;SE0000107203;INDU-C.ST;Financials;3020;
Instalco;INSTAL;SEK;SE0017483506;INSTAL.ST;Industrials;5020;
Intrum;INTRUM;SEK;SE0000936478;INTRUM.ST;Financials;3020;
Investor A;INVE A;SEK;SE0015811955;INVE-A.ST;Financials;3020;
Investor B;INVE B;SEK;SE0015811963;INVE-B.ST;Financials;3020;
Íslandsbanki;ISB;ISK;IS0000028538;ISB.IC;Financials;3010;
ISS;ISS;DKK;DK0060542181;ISS.CO;Industrials;5020;
Jeudan;JDAN;DKK;DK0061282464;JDAN.CO;Real Estate;3510;
JM;JM;SEK;SE0000806994;JM.ST;Real Estate;3510;
Jyske Bank;JYSK;DKK;DK0010307958;JYSK.CO;Financials;3010;
Københavns Lufthavne;KBHL;DKK;DK0010201102;KBHL.CO;Industrials;5020;
Konecranes Oyj;KCR;EUR;FI0009005870;KCR.HE;Industrials;5020;
Kemira Oyj;KEMIRA;EUR;FI0009004824;KEMIRA.HE;Basic Materials;5520;
Kesko Oyj A;KESKOA;EUR;FI0009007900;KESKOA.HE;Consumer Goods;4520;
Kesko Oyj B;KESKOB;EUR;FI0009000202;KESKOB.HE;Consumer Goods;4520;
K-Fast Holding B;KFAST B;SEK;SE0016101679;KFAST-B.ST;Real Estate;3510;
Kindred Group;KIND SDB;SEK;SE0007871645;KIND-SDB.ST;Consumer Services;4050;
Kinnevik A;KINV A;SEK;SE0015810239;KINV-A.ST;Financials;3020;
Kinnevik B;KINV B;SEK;SE0015810247;KINV-B.ST;Financials;3020;
KONE Oyj;KNEBV;EUR;FI0009013403;KNEBV.HE;Industrials;5020;
Kojamo Oyj;KOJAMO;EUR;FI4000312251;KOJAMO.HE;Real Estate;3510;
Lagercrantz Group B;LAGR B;SEK;SE0014990966;LAGR-B.ST;Technology;1010;
Latour B;LATO B;SEK;SE0010100958;LATO-B.ST;Financials;3020;
Lindab International;LIAB;SEK;SE0001852419;LIAB.ST;Industrials;5010;
Lifco B;LIFCO B;SEK;SE0015949201;LIFCO-B.ST;Industrials;5020;
Loomis;LOOMIS;SEK;SE0014504817;LOOMIS.ST;Industrials;5020;
Lundin Mining Corporation;LUMI;SEK;CA5503721063;LUN.TO;Basic Materials;5510;
Lundbergföretagen B;LUND B;SEK;SE0000108847;LUND-B.ST;Financials;3020;
A.P. Møller - Mærsk A;MAERSK A;DKK;DK0010244425;MAERSK-A.CO;Industrials;5020;
A.P. Møller - Mærsk B;MAERSK B;DKK;DK0010244508;MAERSK-B.CO;Industrials;5020;
Marel;MAREL;ISK;IS0000000388;MAREL.IC;Industrials;5020;
Medicover B;MCOV B;SEK;SE0009778848;MCOV-B.ST;Health Care;2010;
Metsä Board Oyj A;METSA;EUR;FI0009000640;METSA.HE;Basic Materials;5510;
Metsä Board Oyj B;METSB;EUR;FI0009000665;METSB.HE;Basic Materials;5510;
Mips;MIPS;SEK;SE0009216278;MIPS.ST;Consumer Services;4020;
Metso Outotec Oyj;MOCORP;EUR;FI0009014575;MOCORP.HE;Industrials;5020;
Munters Group;MTRS;SEK;SE0009806607;MTRS.ST;Industrials;5010;
Mycronic;MYCR;SEK;SE0000375115;MYCR.ST;Technology;1010;
NCAB Group;NCAB;SEK;SE0017160773;NCAB.ST;Technology;1010;
NCC A;NCC A;SEK;SE0000118952;NCC-A.ST;Industrials;5010;
NCC B;NCC B;SEK;SE0000117970;NCGB.F;Industrials;5010;
Nordea Bank Abp;NDA DK;DKK;FI4000297767;NDA-SE.ST;Financials;3010;
Nordea Bank Abp;NDA FI;EUR;FI4000297767;NDA-SE.ST;Financials;3010;
Nordea Bank Abp;NDA SE;SEK;FI4000297767;NDA-SE.ST;Financials;3010;
Neste Oyj;NESTE;EUR;FI0009013296;NESTE.HE;Energy;6010;
Netcompany Group;NETC;DKK;DK0060952919;NETC.CO;Technology;1010;
NIBE Industrier B;NIBE B;SEK;SE0015988019;NIBE-B.ST;Industrials;5010;
NKT;NKT;DKK;DK0010287663;NKT.CO;Industrials;5020;
Noble Corporation;NOBLE;DKK;GB00BMXNWH07;NE;Energy;6010;
Nokia Oyj;NOKIA;EUR;FI0009000681;NOKIA.HE;Telecommunications;1510;
Nolato B;NOLA B;SEK;SE0015962477;NOLA-B.ST;Industrials;5020;
Novo Nordisk B;NOVO B;DKK;DK0060534915;NOVO-B.CO;Health Care;2010;
NP3 Fastigheter;NP3;SEK;SE0006342333;NP3.ST;Real Estate;3510;
NP3 Fastigheter Pref;NP3 PREF;SEK;SE0010820514;NP3-PREF.ST;Real Estate;3510;
NTG Nordic Transport Group;NTG;DKK;DK0061141215;NTG.CO;Industrials;5020;
Nyfosa;NYF;SEK;SE0011426428;NYF.ST;Real Estate;3510;
Novozymes B;NZYM B;DKK;DK0060336014;NZYM-B.CO;Health Care;2010;
Orion Oyj A;ORNAV;EUR;FI0009014369;ORNAV.HE;Health Care;2010;
Orion Oyj B;ORNBV;EUR;FI0009014377;ORNBV.HE;Health Care;2010;
Orrön Energy;ORRON;SEK;SE0000825820;ORRON.ST;Energy;6010;
Ørsted;ORSTED;DKK;DK0060094928;ORSTED.CO;Utilities;6510;
Össur;OSSR;DKK;IS0000000040;OSSR.CO;Health Care;2010;
Outokumpu Oyj;OUT1V;EUR;FI0009002422;OUT1V.HE;Basic Materials;5510;
OX2;OX2;SEK;SE0016075337;OX2.ST;Energy;6010;
Peab B;PEAB B;SEK;SE0000106205;PEAB-B.ST;Industrials;5010;
Platzer Fastigheter Holding B;PLAZ B;SEK;SE0004977692;PLAZ-B.ST;Real Estate;3510;
Pandora;PNDORA;DKK;DK0060252690;PNDORA.CO;Consumer Services;4020;
Pandox B;PNDX B;SEK;SE0007100359;PNDX-B.ST;Real Estate;3510;
Qt Group Oyj;QTCOM;EUR;FI4000198031;QTCOM.HE;Technology;1010;
Ratos A;RATO A;SEK;SE0000191090;RATO-A.ST;Financials;3020;
Ratos B;RATO B;SEK;SE0000111940;RATO-B.ST;Financials;3020;
Royal UNIBREW;RBREW;DKK;DK0060634707;RBREW.CO;Consumer Goods;4510;
Revenio Group Oyj;REG1V;EUR;FI0009010912;REG1V.HE;Health Care;2010;
Ringkjøbing Landbobank;RILBA;DKK;DK0060854669;RILBA.CO;Financials;3010;
Rockwool A;ROCK A;DKK;DK0010219070;ROCK-A.CO;Industrials;5010;
Rockwool B;ROCK B;DKK;DK0010219153;ROCK-B.CO;Industrials;5010;
SAAB B;SAAB B;SEK;SE0000112385;SAAB-B.ST;Industrials;5020;
Sagax A;SAGA A;SEK;SE0004635878;SAGA-A.ST;Real Estate;3510;
Sagax B;SAGA B;SEK;SE0005127818;SAGA-B.ST;Real Estate;3510;
Sagax D;SAGA D;SEK;SE0009161052;SAGA-D.ST;Real Estate;3510;
Sampo Oyj A;SAMPO;EUR;FI0009003305;SAMPO.HE;Financials;3030;
Sampo Oyj SDB;SAMPO SDB;SEK;SE0018768707;SAMPO-SDB.ST;Financials;3030;
Sandvik;SAND;SEK;SE0000667891;SAND.ST;Industrials;5020;
Sanoma Oyj;SANOMA;EUR;FI0009007694;SANOMA.HE;Consumer Services;4030;
SAS;SAS;SEK;SE0003366871;SAS.ST;Consumer Services;4050;
SAS;SAS DKK;DKK;SE0003366871;SAS.ST;Consumer Services;4050;
Nordnet;SAVE;SEK;SE0015192067;SAVE.ST;Financials;3020;
Samhällsbyggnadsbo. i Norden B;SBB B;SEK;SE0009554454;SBB-B.ST;Real Estate;3510;
Samhällsbyggnadsbo. i Norden D;SBB D;SEK;SE0011844091;SBB-D.ST;Real Estate;3510;
SCA A;SCA A;SEK;SE0000171886;SCA-A.ST;Basic Materials;5510;
SCA B;SCA B;SEK;SE0000112724;SCA-B.ST;Basic Materials;5510;
Schouw & Co.;SCHO;DKK;DK0010253921;SCHO.CO;Industrials;5020;
Sdiptech B;SDIP B;SEK;SE0003756758;SDIP-B.ST;Industrials;5020;
Sdiptech Pref;SDIP PREF;SEK;SE0006758348;SDIP-PREF.ST;Industrials;5020;
SEB A;SEB A;SEK;SE0000148884;SEB-A.ST;Financials;3010;
SEB C;SEB C;SEK;SE0000120784;SEBC.F;Financials;3010;
SECTRA B;SECT B;SEK;SE0018245953;SECT-B.ST;Health Care;2010;
Securitas B;SECU B;SEK;SE0000163594;SECU-B.ST;Industrials;5020;
Stillfront Group;SF;SEK;SE0015346135;SF.ST;Consumer Services;4020;
Sv. Handelsbanken A;SHB A;SEK;SE0007100599;SHB-A.ST;Financials;3010;
Sv. Handelsbanken B;SHB B;SEK;SE0007100607;SHB-B.ST;Financials;3010;
SimCorp;SIM;DKK;DK0060495240;SIM.CO;Technology;1010;
Sinch;SINCH;SEK;SE0016101844;SINCH.ST;Technology;1010;
Skanska B;SKA B;SEK;SE0000113250;SKA-B.ST;Industrials;5010;
SKF A;SKF A;SEK;SE0000108201;SKF-A.ST;Basic Materials;5510;
SKF B;SKF B;SEK;SE0000108227;SKF-B.ST;Basic Materials;5510;
Swedish Orphan Biovitrum;SOBI;SEK;SE0000872095;SOBI.ST;Health Care;2010;
Spar Nord Bank;SPNO;DKK;DK0060036564;SPNO.CO;Financials;3010;
SSAB A;SSAB A;SEK;SE0000171100;SSAB-A.ST;Basic Materials;5510;
SSAB B;SSAB B;SEK;SE0000120669;SSAB-B.ST;Basic Materials;5510;
SSAB A;SSABAH;EUR;SE0000171100;SSAB-A.ST;Basic Materials;5510;
SSAB B;SSABBH;EUR;SE0000120669;SSAB-B.ST;Basic Materials;5510;
Stora Enso A;STE A;SEK;FI0009007603;STE-A.ST;Basic Materials;5510;
Stora Enso R;STE R;SEK;FI0009007611;STE-R.ST;Basic Materials;5510;
Stora Enso Oyj A;STEAV;EUR;FI0009005953;ENUA.F;Basic Materials;5510;
Stora Enso Oyj R;STERV;EUR;FI0009005961;STERV.HE;Basic Materials;5510;
Scandinavian Tobacco Group;STG;DKK;DK0060696300;STG.CO;Consumer Goods;4510;
Storskogen Group B;STOR B;SEK;SE0016797732;STOR-B.ST;Financials;3020;
SWECO A;SWEC A;SEK;SE0014960365;SWEC-A.ST;Industrials;5010;
SWECO B;SWEC B;SEK;SE0014960373;SWEC-B.ST;Industrials;5010;
Swedbank A;SWED A;SEK;SE0000242455;SWED-A.ST;Financials;3010;
Swedish Match;SWMA;SEK;SE0015812219;SWMA.ST;Consumer Goods;4510;
Sydbank;SYDB;DKK;DK0010311471;SYDB.CO;Financials;3010;
Systemair;SYSR;SEK;SE0016609499;SYSR.ST;Industrials;5010;
Tele2 A;TEL2 A;SEK;SE0005190220;TEL2-A.ST;Telecommunications;1510;
Tele2 B;TEL2 B;SEK;SE0005190238;TEL2-B.ST;Telecommunications;1510;
Telia Company;TELIA;SEK;SE0000667925;TELIA.ST;Telecommunications;1510;
Telia Company;TELIA1;EUR;SE0000667925;TELIA.ST;Telecommunications;1510;
Thule Group;THULE;SEK;SE0006422390;THULE.ST;Consumer Services;4020;
TietoEVRY Oyj;TIETO;EUR;FI0009000277;TIETO.HE;Technology;1010;
TietoEVRY Oyj;TIETOS;SEK;FI0009000277;TIETO.HE;Technology;1010;
Millicom Int. Cellular SDB;TIGO SDB;SEK;SE0001174970;TIGO-SDB.ST;Telecommunications;1510;
Topdanmark;TOP;DKK;DK0060477503;TOP.CO;Financials;3030;
Trelleborg B;TREL B;SEK;SE0000114837;TREL-B.ST;Industrials;5020;
Troax Group;TROAX;SEK;SE0012729366;TROAX.ST;Basic Materials;5510;
Truecaller B;TRUE B;SEK;SE0016787071;TRUE-B.ST;Technology;1010;
Tryg;TRYG;DKK;DK0060636678;TRYG.CO;Financials;3030;
Terveystalo Oyj;TTALO;EUR;FI4000252127;TTALO.HE;Health Care;2010;
Nokian Renkaat Oyj;TYRES;EUR;FI0009005318;TYRES.HE;Consumer Services;4010;
UPM-Kymmene Oyj;UPM;EUR;FI0009005987;UPM.HE;Basic Materials;5510;
Uponor Oyj;UPONOR;EUR;FI0009002158;UPONOR.HE;Industrials;5010;
Vaisala Oyj A;VAIAS;EUR;FI0009900682;VAIAS.HE;Industrials;5020;
Valmet Oyj;VALMT;EUR;FI4000074984;VALMT.HE;Industrials;5020;
Vitec Software Group B;VIT B;SEK;SE0007871363;VIT-B.ST;Technology;1010;
Vitrolife;VITR;SEK;SE0011205202;VITR.ST;Health Care;2010;
Volvo Car B;VOLCAR B;SEK;SE0016844831;VOLCAR-B.ST;Consumer Services;4010;
Volati;VOLO;SEK;SE0009143662;VOLO.ST;Industrials;5020;
Volati Pref;VOLO PREF;SEK;SE0009143670;VOLO-PREF.ST;Industrials;5020;
Volvo A;VOLV A;SEK;SE0000115420;VOLV-A.ST;Industrials;5020;
Volvo B;VOLV B;SEK;SE0000115446;VOLVB.PR;Industrials;5020;
Viaplay Group A;VPLAY A;SEK;SE0012324226;VPLAY-A.ST;Telecommunications;1510;
Viaplay Group B;VPLAY B;SEK;SE0012116390;VPLAY-B.ST;Telecommunications;1510;
Vestas Wind Systems;VWS;DKK;DK0061539921;VWS.CO;Energy;6010;
Wallenstam B;WALL B;SEK;SE0017780133;WALL-B.ST;Real Estate;3510;
Wihlborgs Fastigheter;WIHL;SEK;SE0018012635;WIHL.ST;Real Estate;3510;
Wärtsilä Oyj Abp;WRT1V;EUR;FI0009003727;WRT1V.HE;Industrials;5020;
YIT Oyj;YIT;EUR;FI0009800643;YIT.HE;Industrials;5010;
Zealand Pharma;ZEAL;DKK;DK0060257814;ZEAL.CO;Health Care;2010;
